date,avgr,p90,p10
2011,13.69,14.53,12.85
2012,14.31,15.45,13.47
2013,14.52,15.28,13.78
2014,14.11,14.96,13.22
2015,14.69,15.89,13.71
2016,14.15,15.13,13.19
2017,14.25,15,13.62
2018,14.28,15.09,13.15
2019,14.29,15.19,13.45
2020,14.09,14.73,13.21
2021,14.03,14.79,13.43
2022,14.54,15.37,13.64
2023,14.63,15.59,13.48
2024,14.09,14.81,13.13
2025,14.11,15.32,13.06
2026,14.33,15.28,13.62
2027,14.46,15.03,14.03
2028,14.37,15.11,13.52
2029,14.48,15.3,13.45
2030,14.57,15.07,13.99
2031,14.46,15.66,13.51
2032,14.73,15.59,13.75
2033,14.74,15.6,13.84
2034,14.59,15.51,13.73
2035,14.58,15.45,13.7
2036,14.64,15.63,13.54
2037,14.61,15.57,13.27
2038,15.04,16.1,14.12
2039,15.18,15.9,14.29
2040,14.62,15.22,13.83
