Name,Content,AdditionalContent,Link,Organization
Scotia Sea Islands Tundra,"Species at risk : 
Sooty Albatross
Wandering Albatross
Gray-Headed Albatross
Antarctic Giant Petrel
White-Chinned Petrel
Atlantic Petrel
Rockhopper Penguin
Macaroni Penguin
South Georgia Pipit
Light-Mantled Albatross
Shy Albatross
Halls Giant Petrel
Grey Petrel
Sooty Shearwater
Gentoo Penguin
Magellanic Penguin",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Magellanic Subpolar Forests,"Species at risk : 
Chilean Guemal
Southern River Otter
Darwins Frog
Austral Rail
Rockhopper Penguin
Southern Pudu
Magellanic Tuco-Tuco
Magellanic Plover
Fuegian Snipe
Chilean Flamingo
Rufous-Tailed Hawk
Andean Condor
Hooded Grebe
Light-Mantled Albatross
Lesser Rhea
Magellanic Penguin
Puma",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Patagonian Steppe,"Species at risk : 
Patagonia Frog
Zapala Frog
Laguna Raimunda Frog
Andalgala Water Frog
Crowned Eagle
Southern River Otter
Pink Fairy Armadillo
Portezuelo Frog
Las Bayas Creek Frog
Olrogs Gull
Austral Rail
Cobbs Wren
Gray-Headed Albatross
Antarctic Giant Petrel
White-Chinned Petrel
Rockhopper Penguin
Macaroni Penguin
Southern Pudu
Southern Myotis
Patagonian Opossum
Magellanic Tuco-Tuco
Chubut Steamerduck
Diademed Sandpiper-Plover
Magellanic Plover
Fuegian Snipe
Chilean Flamingo
Rufous-Tailed Hawk
Andean Condor
Guanay Cormorant
Red-Legged Cormorant
Hooded Grebe
Light-Mantled Albatross
Lesser Rhea
Gentoo Penguin
Magellanic Penguin
Puma
El Rincon Stream Frog
Eskimo Curlew",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Antipodes Subantarctic Islands Tundra,"Species at risk : 
Sooty Albatross
Erect-Crested Penguin
Yellow-Eyed Penguin
Flightless Teal
Campbell Shag
Auckland Shag
Bounty Shag
Royal Albatross
Wandering Albatross
Gray-Headed Albatross
Antarctic Giant Petrel
White-Chinned Petrel
Antipodes Parakeet
Rockhopper Penguin
Macaroni Penguin
Royal Penguin
Subantarctic Snipe
New Zealand Falcon
Light-Mantled Albatross
Shy Albatross
Halls Giant Petrel
Grey Petrel
Mottled Petrel
Sooty Shearwater
Yellow-Fronted Parakeet
Gentoo Penguin",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Rakiura Island Temperate Forests,"Species at risk : 
Australasian Bittern
Brown Kiwi
Red-Breasted Dotterel
Weka
Common Kaka
New Zealand Lesser Short-Tailed Bat
Long-Tailed Wattled Bat
New Zealand Pigeon
New Zealand Falcon
Yellow-Fronted Parakeet
Kakapo",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Southland Temperate Forests,"Species at risk : 
Australasian Bittern
Red-Breasted Dotterel
Black-Billed Gull
Yellowhead
Common Kaka
Long-Tailed Wattled Bat
New Zealand Pigeon
New Zealand Falcon
Yellow-Fronted Parakeet",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Southern Indian Ocean Islands Tundra,"Species at risk : 
Sooty Albatross
Yellow-Nosed Albatross
Eatons Pintail
Royal Albatross
Wandering Albatross
Gray-Headed Albatross
Antarctic Giant Petrel
White-Chinned Petrel
Rockhopper Penguin
Macaroni Penguin
Kerguelen Tern
Light-Mantled Albatross
Shy Albatross
Halls Giant Petrel
Grey Petrel
Sooty Shearwater
Gentoo Penguin",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Fiordland Temperate Forests,"Species at risk : 
Australasian Bittern
Flightless Teal
Brown Kiwi
Weka
Yellowhead
Common Kaka
Kea
Long-Tailed Wattled Bat
New Zealand Pigeon
New Zealand Falcon
Yellow-Fronted Parakeet
Kakapo",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Chatham Island Temperate Forests,"Species at risk : 
Chatham Islands Oystercatcher
Chatham Robin
Chatham Shag
Chatham Snipe
Pitt Shag
Royal Albatross
Common Kaka
New Zealand Pigeon
Shy Albatross
Halls Giant Petrel
Sooty Shearwater
Yellow-Fronted Parakeet
Chatham Petrel
Magenta Petrel",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Cantebury-Otago Tussock Grasslands,"Species at risk : 
Australasian Bittern
Great Spotted Kiwi
Wrybill
Black-Billed Gull
Common Kaka
Large Ground Skink
Oligosoma Otagense
New Zealand Pigeon
New Zealand Falcon
Yellow-Fronted Parakeet",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Westland Temperate Forests,"Species at risk : 
Australasian Bittern
Flightless Teal
Brown Kiwi
Black-Billed Gull
Weka
Yellowhead
Common Kaka
Kea
Long-Tailed Wattled Bat
New Zealand Pigeon
New Zealand Falcon
Yellow-Fronted Parakeet",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Tasmanian Temperate Rain Forests,"Species at risk : 
Blue-Thighed Treefrog
Forty-Spotted Pardalote
Swift Parrot
Greater Long-Eared Bat
Spotted-Tailed Quoll
Eastern Barred Bandicoot
Niveoscincus Palfreymani
Brown Toadlet
Blue-Billed Duck
Flame Robin
Orange-Bellied Parrot",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Tasmanian Temperate Forests,"Species at risk : 
Blue-Thighed Treefrog
Australasian Bittern
Forty-Spotted Pardalote
Swift Parrot
Greater Long-Eared Bat
Spotted-Tailed Quoll
Eastern Barred Bandicoot
Brown Toadlet
Blue-Billed Duck
Flame Robin
Orange-Bellied Parrot",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
Valdivian Temperate Forests,"Species at risk : 
Contulmo Ground Frog
Miguels Ground Frog
Chile False Toad
Peruvian Diving-Petrel
Chilean Guemal
Southern River Otter
Red-Spotted Toad
Cabreria Spiny-Chest Frog
Rio Negro Frog
Portezuelo Frog
Batrachyla Fitzroya
Helmeted Water Toad
Pelado Mountains False Toad
Darwins Frog
Austral Rail
Gray-Headed Albatross
Southern Pudu
Southern Myotis
Monito Del Monte
Chilean Shrew Opossum
Rosy Ground Frog
Valdivia Ground Frog
Achalas Four-Eyed Frog
Diademed Sandpiper-Plover
Elegant Tern
Fuegian Snipe
Chilean Flamingo
Rufous-Tailed Hawk
Andean Condor
Black Rail
Guanay Cormorant
Red-Legged Cormorant
Lesser Rhea
Magellanic Penguin
Puma
VanzoliniS Spiny-Chest Frog
Mocha Island Ground Frog
BarrioS Frog
BullockS False Toad
Chile DarwinS Frog",,http://wwf.panda.org/about_our_earth/ecoregions/ecoregion_list/,1
